% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=123456789, Thu Jun 14 12:07:50 2018
1 14 -0.01899592924878 -4.879296511990722e-06 1.5652327515211707e-05 0.011941992644954288 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 28 -0.023344387908959784 -8.494493988326042e-08 6.742748428564989e-05 0.019427025644081383 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
3 42 -0.026163901742054144 -3.3847325176924946e-07 5.906157385513864e-05 0.020316865525629967 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
4 56 -0.03049831534685916 -2.5013141670577595e-05 1.5821509320292433e-05 0.025302623300314457 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
5 70 -0.035021406817402984 -9.99647414852291e-05 5.7526546259744406e-05 0.03480457011611438 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
6 84 -0.03571517241423687 -1.8883050270096025e-06 0.00015291925303147596 0.03588423486952956 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 98 -0.03241420816344037 -0.00011224908568273147 4.06246651563731e-05 0.045864082247689356 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
8 112 -0.037689728538971026 -1.4510596144781296e-05 2.7455229209292412e-05 0.04811558167875605 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
9 126 -0.03604736564719206 -0.00010332773827491289 0.00011882470128919177 0.0482608461249949 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
10 140 -0.04538307034436473 -2.1907404436203805e-05 5.732364339799604e-06 0.04968198435638281 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
11 154 -0.04367614381304948 -2.4973079510176634e-05 1.0849799191649102e-05 0.050014727296779665 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
12 168 -0.04201553502403346 -7.180356422133823e-05 0.00015330521055349956 0.05263891699472576 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
13 182 -0.04486011706021845 -6.909325980837064e-05 4.004476253158455e-05 0.050891157122253027 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
14 196 -0.04861108016653146 -0.00013331721502629675 4.587901278241868e-05 0.058626788082113294 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
15 210 -0.0549146418628714 -0.00022960128590551024 9.372379936826084e-05 0.06397694871444058 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
16 224 -0.05895922733506962 -0.00021071462683869556 0.00011418204570108361 0.06082259623229182 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
17 238 -0.05970974234804494 -8.726708921814748e-06 1.825133361904046e-05 0.061471485486709686 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
18 252 -0.06648939336248932 -0.0001682902184950054 8.065585388244693e-05 0.06706684417882312 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
19 266 -0.06911348691461248 -9.834457678130262e-06 1.9380400025887815e-05 0.07013557938133572 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
20 280 -0.07248284023875537 -8.508244233134019e-05 4.0368590333522304e-05 0.07122185546773137 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
21 294 -0.07542467122570493 -6.138174763735418e-05 0.00037220187250050594 0.06843348065969011 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
22 308 -0.07925086516651997 -0.0002200189245386182 0.0002447281406391831 0.07451550814183991 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
23 322 -0.0767686072140271 -8.305484315455484e-05 0.00018134117324690132 0.08141856323007549 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
