f1-D10	13467.492117856917
f2-D10	9787.866042324538
f3-D10	13258.255430733905
f4-D10	9753.236125734853
f5-D10	11635.025775498756
f6-D10	6636.063859927413
f7-D10	10528.580200570928
f8-D10	7691.747691679265
f9-D10	11905.26325359554
f10-D10	17242.82162493057
f11-D10	10808.86927503522
f12-D10	8465.510312395763
f13-D10	3674.4000765781166
f14-D10	2444.1449672980457
f15-D10	7571.936035169071
f16-D10	14590.09943468417
f17-D10	4621.030827719382
f18-D10	7698.742123375137
f19-D10	14474.30970611175
f20-D10	9459.039426805226
f1-D30	119143.49800230266
f2-D30	71641.36023543995
f3-D30	125993.3300390894
f4-D30	97668.58956059898
f5-D30	74189.74245861894
f6-D30	112519.81489748666
f7-D30	31228.872079672357
f8-D30	58519.37086214881
f9-D30	199710.45030329283
f10-D30	131251.43510642002
f11-D30	56013.5853889041
f12-D30	126492.69218426799
f13-D30	166378.5859599127
f14-D30	89638.37267181392
f15-D30	53589.648636809994
f16-D30	76448.61318805505
f17-D30	125471.40287672883
f18-D30	105636.60405543265
f19-D30	75104.23965519044
f20-D30	60570.49244113638
